,0,1,2,3,4
82,Apple iPad Pro (3rd generation),Sony XPERIA 10 Plus,Canon Ivy CLIQ,Nikon D810A,Samsung Chromebook 2 XE503C32
83,Samsung Galaxy Note9,Motorola moto Z FORCE DroID,Samsung Galaxy NOTE7,FUJIFILM X-A2,Lenovo Yoga C630 WOS
84,Nokia 8,Motorola Moto Z3 Play,Google Nexus 6P,FUJIFILM X-E2,Lenovo ThinkPad L380 Yoga
85,Nokia 8 Sirocco,LG X charge,Takumi Etalk,FUJIFILM GFX 100,ASUS ZenBook 15 UX534FT-DB77
86,OPPO R11,Google Pixel 2,HTC RE,Canon EOS 5D,Samsung Chromebook Pro
87,Apple Watch Series 4 (GPS),Nokia Lumia 635,Samsung Notebook 9 900X5LI,FUJIFILM X-T10,Lenovo ThinkPad E595
88,Xiaomi Redmi Note 4,Samsung Galaxy Note9,LG K20 V,FUJIFILM X Series XF10,ASUS VivoBook S15
89,Sony XPERIA Z5,LG Rebel 4 (L212VL),Animals,Nikon COOLPIX L840,Intel Compute Stick
90,LG Rebel 4 L211VL,Android,OnePlus 6,FUJIFILM GFX 50R,ASUS VivoBook Pro 15 N580VD
91,ASUS ZenFone AR,Samsung Galaxy Fold,Motorola One Power,Sony Cyber-shot DSC-H400,HP EliteBook Revolve 810 G3 Tablet
92,Nokia 9 PureView,Samsung Galaxy J1,ZTE Axon 7,Sony Cyber-Shot DSC-HX300,ASUS ZenBook UX303UB
93,Realme X,Motorola DROID RAZR MAXX,Honor 8 Lite,Sony Cyber-Shot DSC-RX1R II,Apple MacBook Pro With Retina Display
94,Huawei P8,LG Premier Pro LTE,HTC One Max,Canon EOS 1100D,Lenovo ThinkPad E485
95,Honor View 10,LG ND5520,Dr. Seuss,FUJIFILM X Series X-T100,HP Spectre x360
96,Google Nexus 6,Motorola Moto E5 Cruise,Razer Phone 2,PENTAX K-S2,Dell Latitude 5290 2-IN-1
97,HTC One (M9),LG G3,Samsung Galaxy ON5,Sony a6000 ILCE-6000,Alienware AREA-51M
98,Sony XPERIA Z3+,Apple iPhone 3GS,OnePlus 7 Pro,Panasonic LUMIX LX100 II,Dell XPS 13 9360
99,Sonim XP8,Huawei Y6,Android,FUJIFILM X-T1,HUAWEI MediaPad M3
100,Samsung Galaxy Fold,Kobo Aura,Microsoft Lumia 950,Panasonic Lumix DMC-GH5,Dell Venue 11 Pro (5130)
101,Google Pixel 2 XL,Huawei Mate 8,Huawei P8,Sony Alpha A7S,Wacom Cintiq Companion 2
102,Apple Watch Series 4 (GPS + Cellular),Honor 8,Duke,Leica CL,Lenovo Legion C530
